company_name,price_date,price_type,price
DBS,2025-01-29,Actual,32.5
DBS,2025-01-30,Actual,32.96
DBS,2025-01-31,Actual,31.340000000000003
DBS,2025-02-03,Actual,32.0
DBS,2025-02-04,Actual,32.77
DBS,2025-02-05,Actual,31.724
DBS,2025-02-06,Actual,33.5
DBS,2025-02-07,Actual,32.0
DBS,2025-02-10,Actual,32.05
DBS,2025-02-11,Actual,33.4
DBS,2025-02-12,Actual,32.5
DBS,2025-02-13,Actual,35.04
DBS,2025-02-14,Actual,32.71
DBS,2025-02-18,Actual,33.45
DBS,2025-02-19,Actual,34.4
DBS,2025-02-20,Actual,35.34
DBS,2025-02-21,Actual,34.16
DBS,2025-02-24,Actual,34.6
DBS,2025-02-25,Actual,33.6
DBS,2025-02-26,Actual,36.34
DBS,2025-02-27,Actual,36.34
DBS,2025-02-28,Actual,34.0
DBS,2025-03-03,Actual,33.33
DBS,2025-03-04,Actual,33.65
DBS,2025-03-05,Actual,34.165
DBS,2025-03-06,Actual,33.35
DBS,2025-03-07,Actual,35.94
DBS,2025-03-10,Actual,34.885
DBS,2025-03-11,Actual,34.89
DBS,2025-03-12,Actual,33.2
DBS,2025-03-13,Actual,34.0
DBS,2023-05-23,Predicted,22.626554489135746
DBS,2023-05-24,Predicted,22.638357162475582
DBS,2023-05-25,Predicted,22.694475173950195
DBS,2023-05-26,Predicted,22.78034782409668
DBS,2023-05-30,Predicted,22.87773323059082
DBS,2023-05-31,Predicted,22.954345703125
DBS,2023-06-01,Predicted,22.87315559387207
DBS,2023-06-02,Predicted,22.790023803710938
DBS,2023-06-05,Predicted,22.754552841186523
DBS,2023-06-06,Predicted,22.727706909179688
DBS,2023-06-07,Predicted,22.739112854003903
DBS,2023-06-08,Predicted,22.768922805786133
DBS,2023-06-09,Predicted,22.76744842529297
DBS,2023-06-12,Predicted,22.761642456054688
DBS,2023-06-13,Predicted,22.799654006958008
DBS,2023-06-14,Predicted,22.860435485839844
DBS,2023-06-15,Predicted,22.916065216064453
DBS,2023-06-16,Predicted,22.978666305541992
DBS,2023-06-20,Predicted,22.9896297454834
DBS,2023-06-21,Predicted,22.977697372436523
DBS,2023-06-22,Predicted,22.975238800048828
DBS,2023-06-23,Predicted,23.01375961303711
DBS,2023-06-26,Predicted,23.04341506958008
DBS,2023-06-27,Predicted,23.051729202270508
DBS,2023-06-28,Predicted,23.071319580078125
DBS,2023-06-29,Predicted,23.09129524230957
DBS,2023-06-30,Predicted,23.09113502502441
DBS,2023-07-03,Predicted,23.106151580810547
DBS,2023-07-05,Predicted,23.12352561950684
