Company Name,Price Date,Price Type,Price
ANZ,2021-10-18,Actual,20.935
ANZ,2021-10-19,Actual,20.935
ANZ,2021-10-20,Actual,20.935
ANZ,2021-10-21,Actual,20.935
ANZ,2021-10-22,Actual,20.935
ANZ,2021-10-25,Actual,20.935
ANZ,2021-10-26,Actual,21.275
ANZ,2021-10-27,Actual,21.275
ANZ,2021-10-28,Actual,21.275
ANZ,2021-10-29,Actual,21.275
ANZ,2021-11-01,Actual,21.275
ANZ,2021-11-02,Actual,21.275
ANZ,2021-11-03,Actual,21.275
ANZ,2021-11-04,Actual,21.275
ANZ,2021-11-05,Actual,21.275
ANZ,2021-11-08,Actual,21.275
ANZ,2021-11-09,Actual,20.14
ANZ,2021-11-10,Actual,20.52
ANZ,2021-11-11,Actual,20.52
ANZ,2021-11-12,Actual,20.52
ANZ,2021-11-15,Actual,20.52
ANZ,2021-11-16,Actual,20.77
ANZ,2021-11-17,Actual,20.77
ANZ,2021-11-18,Actual,20.77
ANZ,2021-11-19,Actual,20.77
ANZ,2021-11-22,Actual,19.32
ANZ,2021-11-23,Actual,19.32
ANZ,2021-11-24,Actual,19.4
ANZ,2021-11-26,Actual,19.4
ANZ,2021-11-29,Actual,19.4
ANZ,2021-11-30,Actual,19.01
ANZ,2021-12-01,Actual,19.01
ANZ,2021-12-02,Actual,18.29
ANZ,2021-12-03,Actual,18.29
ANZ,2021-12-06,Actual,18.29
ANZ,2021-12-07,Actual,19.0601
ANZ,2021-12-08,Actual,19.0601
ANZ,2021-12-09,Actual,19.0601
ANZ,2021-12-10,Actual,19.36
ANZ,2021-12-13,Actual,19.36
ANZ,2021-12-14,Actual,19.36
ANZ,2021-12-15,Actual,19.36
ANZ,2021-12-16,Actual,19.36
ANZ,2021-12-17,Actual,19.99
ANZ,2021-12-20,Actual,19.99
ANZ,2021-12-21,Actual,19.99
ANZ,2021-12-22,Actual,19.775
ANZ,2021-12-23,Actual,19.85
ANZ,2021-12-27,Actual,19.85
ANZ,2021-12-28,Actual,19.9485
ANZ,2021-12-29,Actual,19.9485
ANZ,2021-12-30,Actual,19.9485
ANZ,2021-12-31,Actual,19.9485
ANZ,2022-01-03,Actual,19.795
